,y,ds
310,32.86666666666667,2019-10-24
694,33.583333333333336,2019-10-26
974,35.483333333333334,2019-10-28
1321,34.68333333333333,2019-10-30
1474,36.4,2019-11-01
1826,26.233333333333334,2019-11-03
2274,30.283333333333335,2019-11-06
2756,31.783333333333335,2019-11-09
3053,35.36666666666667,2019-11-11
3355,29.6,2019-11-13
3596,35.2,2019-11-15
4111,34.266666666666666,2019-11-18
4471,34.88333333333333,2019-11-20
4752,33.983333333333334,2019-11-22
4982,37.733333333333334,2019-11-24
5495,36.45,2019-11-27
5978,26.683333333333334,2019-11-30
6418,48.416666666666664,2019-12-03
6743,35.416666666666664,2019-12-05
7073,37.25,2019-12-07
7350,36.083333333333336,2019-12-09
7558,36.516666666666666,2019-12-11
7887,34.53333333333333,2019-12-13
8401,40.233333333333334,2019-12-16
8858,40.233333333333334,2019-12-19
9245,32.583333333333336,2019-12-21
9583,40.1,2019-12-23
9667,39.81666666666667,2019-12-25
10094,38.016666666666666,2019-12-28
10612,33.81666666666667,2019-12-31
11031,35.333333333333336,2020-01-03
11993,33.95,2020-01-09
12248,32.766666666666666,2020-01-11
12979,41.983333333333334,2020-01-15
13458,40.31666666666667,2020-01-18
13667,37.8,2020-01-20
14048,34.333333333333336,2020-01-22
14317,37.733333333333334,2020-01-24
14521,39.11666666666667,2020-01-26
15076,41.733333333333334,2020-01-29
15298,39.7,2020-01-31
15641,36.03333333333333,2020-02-02
16252,37.38333333333333,2020-02-06
16721,37.7,2020-02-09
17055,36.6,2020-02-11
17435,30.366666666666667,2020-02-20
17779,38.96666666666667,2020-02-22
18379,33.75,2020-02-26
18846,43.25,2020-02-29
19067,37.36666666666667,2020-03-02
19580,32.6,2020-03-05
20115,30.25,2020-03-08
20297,36.983333333333334,2020-03-10
